timestamp,segment_id,lat,lon,street_name,traffic_score,congestion_level,speed_avg,pixels_free,pixels_slow,pixels_moderate,pixels_heavy,pixels_jam,total_traffic_pixels,pct_free,pct_slow,pct_moderate,pct_heavy,pct_jam,weather_temp_c,weather_feels_c,weather_humidity,weather_wind_ms,weather_precip_1h,weather_visibility_m,weather_condition,weather_description,tile_x,tile_y,tile_z
2026-04-05T18:30:19Z,z14_x11690_y6008,43.189158,76.871338,,1.52,Low,61.4,5221,56,0,0,0,5277,98.94,1.06,0.0,0.0,0.0,,,,,,,,,11690,6008,14
2026-04-05T18:30:19Z,z14_x11690_y6009,43.173135,76.871338,,1.5,Low,61.6,6866,8,0,0,0,6874,99.88,0.12,0.0,0.0,0.0,,,,,,,,,11690,6009,14
2026-04-05T18:30:19Z,z14_x11691_y5999,43.333169,76.893311,,1.5,Low,61.6,1866,0,0,0,0,1866,100.0,0.0,0.0,0.0,0.0,,,,,,,,,11691,5999,14
2026-04-05T18:30:19Z,z14_x11691_y6000,43.317185,76.893311,,1.61,Low,60.8,3774,216,0,0,0,3990,94.59,5.41,0.0,0.0,0.0,,,,,,,,,11691,6000,14
2026-04-05T18:30:19Z,z14_x11691_y6003,43.269206,76.893311,,1.5,Low,61.6,855,0,0,0,0,855,100.0,0.0,0.0,0.0,0.0,,,,,,,,,11691,6003,14
2026-04-05T18:30:19Z,z14_x11691_y6004,43.253205,76.893311,,1.5,Low,61.6,4834,0,0,0,0,4834,100.0,0.0,0.0,0.0,0.0,,,,,,,,,11691,6004,14
2026-04-05T18:30:19Z,z14_x11691_y6005,43.237199,76.893311,,1.5,Low,61.6,6015,0,0,0,0,6015,100.0,0.0,0.0,0.0,0.0,,,,,,,,,11691,6005,14
2026-04-05T18:30:19Z,z14_x11691_y6006,43.22119,76.893311,,1.62,Low,60.7,5045,315,0,0,0,5360,94.12,5.88,0.0,0.0,0.0,,,,,,,,,11691,6006,14
2026-04-05T18:30:19Z,z14_x11691_y6007,43.205176,76.893311,,1.51,Low,61.5,4020,19,0,0,0,4039,99.53,0.47,0.0,0.0,0.0,,,,,,,,,11691,6007,14
2026-04-05T18:30:19Z,z14_x11691_y6008,43.189158,76.893311,,1.59,Low,60.9,2347,105,0,0,0,2452,95.72,4.28,0.0,0.0,0.0,,,,,,,,,11691,6008,14
2026-04-05T18:30:19Z,z14_x11691_y6009,43.173135,76.893311,,1.61,Low,60.8,2858,166,0,0,0,3024,94.51,5.49,0.0,0.0,0.0,,,,,,,,,11691,6009,14
2026-04-05T18:30:19Z,z14_x11692_y5996,43.381098,76.915283,,1.5,Low,61.6,478,0,0,0,0,478,100.0,0.0,0.0,0.0,0.0,,,,,,,,,11692,5996,14
2026-04-05T18:30:19Z,z14_x11692_y5997,43.365126,76.915283,,1.5,Low,61.6,1552,0,0,0,0,1552,100.0,0.0,0.0,0.0,0.0,,,,,,,,,11692,5997,14
2026-04-05T18:30:19Z,z14_x11692_y5998,43.34915,76.915283,,1.65,Low,60.5,1275,102,0,0,0,1377,92.59,7.41,0.0,0.0,0.0,,,,,,,,,11692,5998,14
2026-04-05T18:30:19Z,z14_x11692_y5999,43.333169,76.915283,,2.37,Low,55.6,692,528,0,0,0,1220,56.72,43.28,0.0,0.0,0.0,,,,,,,,,11692,5999,14
2026-04-05T18:30:19Z,z14_x11692_y6000,43.317185,76.915283,,1.58,Low,61.0,2662,110,0,0,0,2772,96.03,3.97,0.0,0.0,0.0,,,,,,,,,11692,6000,14
2026-04-05T18:30:19Z,z14_x11692_y6002,43.285203,76.915283,,1.5,Low,61.6,81,0,0,0,0,81,100.0,0.0,0.0,0.0,0.0,,,,,,,,,11692,6002,14
2026-04-05T18:30:19Z,z14_x11692_y6003,43.269206,76.915283,,1.5,Low,61.6,3991,0,0,0,0,3991,100.0,0.0,0.0,0.0,0.0,,,,,,,,,11692,6003,14
2026-04-05T18:30:19Z,z14_x11692_y6004,43.253205,76.915283,,1.53,Low,61.3,4839,76,0,0,0,4915,98.45,1.55,0.0,0.0,0.0,,,,,,,,,11692,6004,14
2026-04-05T18:30:19Z,z14_x11692_y6005,43.237199,76.915283,,1.5,Low,61.6,7672,0,0,0,0,7672,100.0,0.0,0.0,0.0,0.0,,,,,,,,,11692,6005,14
2026-04-05T18:30:19Z,z14_x11692_y6006,43.22119,76.915283,,1.58,Low,61.0,7544,330,0,0,0,7874,95.81,4.19,0.0,0.0,0.0,,,,,,,,,11692,6006,14
2026-04-05T18:30:19Z,z14_x11692_y6007,43.205176,76.915283,,1.6,Low,60.9,4272,220,0,0,0,4492,95.1,4.9,0.0,0.0,0.0,,,,,,,,,11692,6007,14
2026-04-05T18:30:19Z,z14_x11692_y6008,43.189158,76.915283,,1.5,Low,61.6,2262,0,0,0,0,2262,100.0,0.0,0.0,0.0,0.0,,,,,,,,,11692,6008,14
2026-04-05T18:30:19Z,z14_x11692_y6009,43.173135,76.915283,,1.5,Low,61.6,1981,0,0,0,0,1981,100.0,0.0,0.0,0.0,0.0,,,,,,,,,11692,6009,14
2026-04-05T18:30:19Z,z14_x11693_y5999,43.333169,76.937256,,1.5,Low,61.6,240,0,0,0,0,240,100.0,0.0,0.0,0.0,0.0,,,,,,,,,11693,5999,14
2026-04-05T18:30:19Z,z14_x11693_y6000,43.317185,76.937256,,1.66,Low,60.5,1715,149,0,0,0,1864,92.01,7.99,0.0,0.0,0.0,,,,,,,,,11693,6000,14
2026-04-05T18:30:19Z,z14_x11693_y6001,43.301196,76.937256,,1.5,Low,61.6,11,0,0,0,0,11,100.0,0.0,0.0,0.0,0.0,,,,,,,,,11693,6001,14
2026-04-05T18:30:19Z,z14_x11693_y6002,43.285203,76.937256,,1.5,Low,61.6,911,0,0,0,0,911,100.0,0.0,0.0,0.0,0.0,,,,,,,,,11693,6002,14
2026-04-05T18:30:19Z,z14_x11693_y6003,43.269206,76.937256,,1.5,Low,61.6,1388,0,0,0,0,1388,100.0,0.0,0.0,0.0,0.0,,,,,,,,,11693,6003,14
2026-04-05T18:30:19Z,z14_x11693_y6004,43.253205,76.937256,,1.5,Low,61.6,3274,0,0,0,0,3274,100.0,0.0,0.0,0.0,0.0,,,,,,,,,11693,6004,14
2026-04-05T18:30:19Z,z14_x11693_y6005,43.237199,76.937256,,1.5,Low,61.6,1994,0,0,0,0,1994,100.0,0.0,0.0,0.0,0.0,,,,,,,,,11693,6005,14
2026-04-05T18:30:19Z,z14_x11693_y6006,43.22119,76.937256,,1.5,Low,61.6,2777,0,0,0,0,2777,100.0,0.0,0.0,0.0,0.0,,,,,,,,,11693,6006,14
2026-04-05T18:30:19Z,z14_x11693_y6007,43.205176,76.937256,,1.5,Low,61.6,5618,0,0,0,0,5618,100.0,0.0,0.0,0.0,0.0,,,,,,,,,11693,6007,14
2026-04-05T18:30:19Z,z14_x11693_y6008,43.189158,76.937256,,1.5,Low,61.6,6072,0,0,0,0,6072,100.0,0.0,0.0,0.0,0.0,,,,,,,,,11693,6008,14
2026-04-05T18:30:19Z,z14_x11693_y6009,43.173135,76.937256,,1.5,Low,61.6,8572,10,0,0,0,8582,99.88,0.12,0.0,0.0,0.0,,,,,,,,,11693,6009,14
2026-04-05T18:30:19Z,z14_x11694_y6000,43.317185,76.959229,,1.5,Low,61.6,1296,0,0,0,0,1296,100.0,0.0,0.0,0.0,0.0,,,,,,,,,11694,6000,14
